gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group A,associate's degree,standard,Not,82,93,93
female,group C,high school,standard,Not,60,68,72
female,group E,bachelor's degree,standard,Not,37,45,38
male,group D,bachelor's degree,standard,Not,88,78,83
male,group D,master's degree,standard,Not,95,81,84
male,group C,associate's degree,free/reduced,completed,65,73,68
female,group C,high school,free/reduced,Not,35,61,54
male,group B,bachelor's degree,free/reduced,Not,62,63,56
male,group C,high school,free/reduced,completed,58,51,52
male,group A,some college,standard,completed,100,96,86
female,group E,bachelor's degree,free/reduced,Not,61,58,62
male,group D,some college,standard,completed,100,97,99
male,group B,associate's degree,free/reduced,completed,69,70,63
male,group D,associate's degree,standard,Not,61,48,46
male,group D,some college,free/reduced,Not,49,57,46
female,group C,some high school,standard,completed,44,51,55
male,group D,some college,standard,Not,67,64,70
male,group B,high school,standard,Not,79,60,65
female,group B,bachelor's degree,standard,completed,66,74,81
female,group C,high school,standard,Not,75,88,85
male,group D,some high school,standard,Not,84,84,80
male,group A,high school,standard,Not,71,74,64
female,group B,high school,free/reduced,completed,67,80,81
female,group D,some high school,standard,completed,80,92,88
male,group E,some college,standard,Not,86,76,74
female,group D,associate's degree,standard,Not,76,74,73
male,group D,high school,standard,Not,41,52,51
female,group D,associate's degree,free/reduced,completed,74,88,90
female,group B,some high school,free/reduced,Not,72,81,79
female,group E,high school,standard,completed,74,79,80
male,group B,high school,standard,Not,70,65,60
female,group B,bachelor's degree,standard,completed,65,81,81
female,group D,associate's degree,standard,Not,59,70,65
female,group E,high school,free/reduced,Not,64,62,68
female,group B,high school,standard,Not,50,53,55
female,group D,some college,standard,completed,69,79,81
male,group C,some high school,free/reduced,completed,51,56,53
female,group A,high school,standard,completed,68,80,76
female,group D,some college,standard,completed,85,86,98
female,group A,associate's degree,standard,completed,65,70,74
female,group B,some high school,standard,Not,73,79,79
female,group B,some college,standard,Not,62,67,67
male,group C,associate's degree,free/reduced,Not,77,67,64
male,group D,some high school,standard,Not,69,66,61
female,group D,associate's degree,free/reduced,Not,43,60,58
male,group D,associate's degree,standard,Not,90,87,85
male,group C,some college,free/reduced,Not,74,77,73
male,group C,some high school,standard,Not,73,66,63
female,group D,some college,free/reduced,Not,55,71,69
female,group C,high school,standard,Not,65,69,67
male,group D,associate's degree,standard,Not,80,63,63
female,group C,some high school,free/reduced,completed,50,60,60
female,group C,some college,free/reduced,completed,63,73,71
female,group B,bachelor's degree,free/reduced,Not,77,85,87
male,group C,some college,standard,Not,73,74,61
male,group D,associate's degree,standard,completed,81,72,77
female,group C,high school,free/reduced,Not,66,76,68
male,group D,associate's degree,free/reduced,Not,52,57,50
female,group C,some college,standard,Not,69,78,76
female,group C,associate's degree,standard,completed,65,84,84
female,group D,high school,standard,completed,69,77,78
female,group B,some college,standard,completed,50,64,66
female,group E,some college,standard,completed,73,78,76
female,group C,some high school,standard,completed,70,82,76
male,group D,associate's degree,free/reduced,Not,81,75,78
male,group D,some college,free/reduced,Not,63,61,60
female,group D,high school,standard,Not,67,72,74
male,group B,high school,standard,Not,60,68,60
male,group B,high school,standard,Not,62,55,54
female,group C,some high school,free/reduced,completed,29,40,44
male,group B,some college,standard,completed,62,66,68
female,group E,master's degree,standard,completed,94,99,100
male,group E,some college,standard,completed,85,75,68
male,group D,associate's degree,free/reduced,Not,77,78,73
male,group A,high school,free/reduced,Not,53,58,44
male,group E,some college,free/reduced,Not,93,90,83
female,group C,associate's degree,standard,Not,49,53,53
female,group E,associate's degree,free/reduced,Not,73,76,78
female,group C,bachelor's degree,free/reduced,completed,66,74,81
female,group D,associate's degree,standard,Not,77,77,73
female,group C,some high school,standard,Not,49,63,56
female,group D,some college,free/reduced,Not,79,89,86
female,group C,associate's degree,standard,completed,75,82,90
female,group A,bachelor's degree,standard,Not,59,72,70
female,group D,associate's degree,standard,completed,57,78,79
male,group C,high school,free/reduced,Not,66,66,59
female,group E,bachelor's degree,standard,completed,79,81,82
female,group B,some high school,standard,Not,57,67,72
male,group A,bachelor's degree,standard,completed,87,84,87
female,group D,some college,standard,Not,63,64,67
female,group B,some high school,free/reduced,completed,59,63,64
male,group A,bachelor's degree,free/reduced,Not,62,72,65
male,group D,high school,standard,Not,46,34,36
male,group C,some college,standard,Not,66,59,52
male,group D,high school,standard,Not,89,87,79
female,group D,associate's degree,free/reduced,completed,42,61,58
male,group C,some college,standard,completed,93,84,90
female,group E,some high school,standard,completed,80,85,85
female,group D,some college,standard,Not,98,100,99
male,group D,master's degree,standard,Not,81,81,84
female,group B,some high school,standard,completed,60,70,74
female,group B,associate's degree,free/reduced,completed,76,94,87
male,group C,associate's degree,standard,completed,73,78,72
female,group C,associate's degree,standard,completed,96,96,99
female,group C,high school,standard,Not,76,76,74
male,group E,associate's degree,free/reduced,completed,91,73,80
female,group C,some college,free/reduced,Not,62,72,70
male,group D,some high school,free/reduced,completed,55,59,59
female,group B,some high school,free/reduced,completed,74,90,88
male,group C,high school,standard,Not,50,48,42
male,group B,some college,standard,Not,47,43,41
male,group E,some college,standard,completed,81,74,71
female,group E,associate's degree,standard,completed,65,75,77
male,group E,some high school,standard,completed,68,51,57
female,group D,high school,free/reduced,Not,73,92,84
male,group C,some college,standard,Not,53,39,37
female,group B,associate's degree,free/reduced,completed,68,77,80
male,group A,some high school,free/reduced,Not,55,46,43
female,group C,some college,standard,completed,87,89,94
male,group D,some high school,standard,Not,55,47,44
female,group E,some college,free/reduced,Not,53,58,57
male,group C,master's degree,standard,Not,67,57,59
male,group C,associate's degree,standard,Not,92,79,84
female,group B,some college,free/reduced,completed,53,66,73
male,group D,associate's degree,standard,Not,81,71,73
male,group C,high school,free/reduced,Not,61,60,55
male,group D,bachelor's degree,standard,Not,80,73,72
female,group A,associate's degree,free/reduced,Not,37,57,56
female,group C,high school,standard,Not,81,84,82
female,group C,associate's degree,standard,completed,59,73,72
male,group B,some college,free/reduced,Not,55,55,47
male,group D,associate's degree,standard,Not,72,79,74
male,group D,high school,standard,Not,69,75,71
male,group C,some college,standard,Not,69,64,68
female,group C,bachelor's degree,free/reduced,Not,50,60,59
male,group B,some college,standard,completed,87,84,86
male,group D,some high school,standard,completed,71,69,68
male,group E,some college,standard,Not,68,72,65
male,group C,master's degree,free/reduced,completed,79,77,75
female,group C,some high school,standard,completed,77,90,85
male,group C,associate's degree,free/reduced,Not,58,55,53
female,group E,associate's degree,standard,Not,84,95,92
male,group D,some college,standard,Not,55,58,52
male,group E,bachelor's degree,free/reduced,completed,70,68,72
female,group D,some college,free/reduced,completed,52,59,65
male,group B,some college,standard,completed,69,77,77
female,group C,high school,free/reduced,Not,53,72,64
female,group D,some high school,standard,Not,48,58,54
male,group D,some high school,standard,completed,78,81,86
female,group B,high school,standard,Not,62,62,63
male,group D,some college,standard,Not,60,63,59
female,group B,high school,standard,Not,74,72,72
female,group C,high school,standard,completed,58,75,77
male,group B,high school,standard,completed,76,62,60
female,group D,some high school,standard,Not,68,71,75
male,group A,some college,free/reduced,Not,58,60,57
male,group B,high school,standard,Not,52,48,49
male,group D,bachelor's degree,standard,Not,75,73,74
female,group B,some high school,free/reduced,completed,52,67,72
female,group C,bachelor's degree,free/reduced,Not,62,78,79
male,group B,some college,standard,Not,66,65,60
female,group B,some high school,free/reduced,Not,49,58,55
female,group B,high school,standard,Not,66,72,70
female,group C,some college,free/reduced,Not,35,44,43
female,group A,some college,standard,completed,72,79,82
male,group E,associate's degree,standard,completed,94,85,82
female,group D,associate's degree,free/reduced,Not,46,56,57
female,group B,master's degree,standard,Not,77,90,84
female,group B,high school,free/reduced,completed,76,85,82
female,group C,associate's degree,standard,completed,52,59,62
male,group C,bachelor's degree,standard,completed,91,81,79
female,group B,some high school,standard,completed,32,51,44
female,group E,some high school,free/reduced,Not,72,79,77
female,group B,some college,standard,Not,19,38,32
male,group C,associate's degree,free/reduced,Not,68,65,61
female,group C,master's degree,free/reduced,Not,52,65,61
female,group B,high school,standard,Not,48,62,60
female,group D,some college,free/reduced,Not,60,66,70
male,group D,high school,free/reduced,Not,66,74,69
male,group E,some high school,standard,completed,89,84,77
female,group B,high school,standard,Not,42,52,51
female,group E,associate's degree,free/reduced,completed,57,68,73
male,group D,high school,standard,Not,70,70,70
female,group E,associate's degree,free/reduced,Not,70,84,81
male,group E,some college,standard,Not,69,60,54
female,group C,associate's degree,standard,Not,52,55,57
male,group C,some high school,standard,completed,67,73,68
male,group C,some high school,standard,completed,76,80,73
female,group E,associate's degree,standard,Not,87,94,95
female,group B,some college,standard,Not,82,85,87
female,group C,some college,standard,Not,73,76,78
male,group A,some college,free/reduced,Not,75,81,74
female,group D,some college,free/reduced,Not,64,74,75
female,group E,high school,free/reduced,Not,41,45,40
male,group C,high school,standard,Not,90,75,69
male,group B,bachelor's degree,standard,Not,59,54,51
male,group A,some high school,standard,Not,51,31,36
male,group A,high school,free/reduced,Not,45,47,49
female,group C,master's degree,standard,completed,54,64,67
male,group E,some high school,standard,completed,87,84,76
female,group C,high school,standard,Not,72,80,83
male,group B,some high school,standard,completed,94,86,87
female,group A,bachelor's degree,standard,Not,45,59,64
male,group D,bachelor's degree,free/reduced,completed,61,70,76
female,group B,high school,free/reduced,Not,60,72,68
female,group C,some high school,standard,Not,77,91,88
female,group A,some high school,standard,completed,85,90,92
female,group D,bachelor's degree,free/reduced,Not,78,90,93
male,group E,some college,free/reduced,completed,49,52,51
female,group B,high school,free/reduced,Not,71,87,82
female,group C,some high school,free/reduced,Not,48,58,52
male,group C,high school,standard,Not,62,67,58
female,group C,associate's degree,free/reduced,completed,56,68,70
female,group C,some high school,standard,Not,65,69,76
female,group D,some high school,free/reduced,completed,69,86,81
male,group B,some high school,standard,Not,68,54,53
female,group A,some college,free/reduced,Not,61,60,57
female,group C,bachelor's degree,free/reduced,completed,74,86,89
male,group A,bachelor's degree,standard,Not,64,60,58
female,group B,high school,standard,completed,77,82,89
male,group B,some college,standard,Not,58,50,45
female,group C,high school,standard,completed,60,64,74
male,group E,high school,standard,Not,73,64,57
female,group A,high school,standard,completed,75,82,79
male,group B,associate's degree,free/reduced,completed,58,57,53
female,group C,associate's degree,standard,Not,66,77,73
female,group D,high school,free/reduced,Not,39,52,46
male,group C,some high school,standard,Not,64,58,51
female,group B,high school,free/reduced,completed,23,44,36
male,group B,some college,free/reduced,completed,74,77,76
female,group D,some high school,free/reduced,completed,40,65,64
male,group E,master's degree,standard,Not,90,85,84
male,group C,master's degree,standard,completed,91,85,85
male,group D,high school,standard,Not,64,54,50
female,group C,high school,standard,Not,59,72,68
male,group D,associate's degree,standard,Not,80,75,69
male,group C,master's degree,standard,Not,71,67,67
female,group A,high school,standard,Not,61,68,63
female,group E,some college,standard,Not,87,85,93
male,group E,some high school,standard,Not,82,67,61
male,group C,some high school,standard,Not,62,64,55
female,group B,bachelor's degree,standard,Not,97,97,96
male,group B,some college,free/reduced,Not,75,68,65
female,group C,bachelor's degree,standard,Not,65,79,81
male,group B,high school,standard,completed,52,49,46
male,group C,associate's degree,free/reduced,Not,87,73,72
female,group C,associate's degree,standard,Not,53,62,53
female,group E,master's degree,free/reduced,Not,81,86,87
male,group D,bachelor's degree,free/reduced,completed,39,42,38
female,group C,some college,standard,completed,71,71,80
male,group C,associate's degree,standard,Not,97,93,91
male,group D,some college,standard,completed,82,82,88
male,group C,high school,free/reduced,Not,59,53,52
male,group B,associate's degree,standard,Not,61,42,41
male,group E,associate's degree,free/reduced,completed,78,74,72
male,group C,associate's degree,free/reduced,Not,49,51,51
male,group B,high school,standard,Not,59,58,47
female,group C,some college,standard,completed,70,72,76
male,group B,associate's degree,standard,completed,82,84,78
male,group E,associate's degree,free/reduced,Not,90,90,82
female,group C,bachelor's degree,free/reduced,Not,43,62,61
male,group C,some college,free/reduced,Not,80,64,66
male,group D,some college,standard,Not,81,82,84
male,group C,some high school,standard,Not,57,61,54
female,group D,some high school,standard,Not,59,72,80
female,group D,associate's degree,standard,Not,64,76,74
male,group C,bachelor's degree,standard,completed,63,64,66
female,group E,bachelor's degree,standard,completed,71,70,70
female,group B,high school,free/reduced,Not,64,73,71
male,group D,bachelor's degree,free/reduced,Not,55,46,44
female,group E,associate's degree,standard,Not,51,51,54
female,group C,associate's degree,standard,completed,62,76,80
female,group E,associate's degree,standard,completed,93,100,95
male,group C,high school,free/reduced,Not,54,72,59
female,group D,some college,free/reduced,Not,69,65,74
male,group D,high school,free/reduced,Not,44,51,48
female,group E,some college,standard,completed,86,85,91
female,group E,associate's degree,standard,Not,85,92,85
female,group A,master's degree,free/reduced,Not,50,67,73
male,group D,some high school,standard,completed,88,74,75
female,group E,associate's degree,standard,Not,59,62,69
female,group E,some high school,free/reduced,Not,32,34,38
male,group B,high school,free/reduced,Not,36,29,27
female,group B,some high school,free/reduced,completed,63,78,79
male,group D,associate's degree,standard,completed,67,54,63
female,group D,some high school,standard,completed,65,78,82
male,group D,master's degree,standard,Not,85,84,89
female,group C,master's degree,standard,Not,73,78,74
female,group A,high school,free/reduced,completed,34,48,41
female,group D,bachelor's degree,free/reduced,completed,93,100,100
female,group D,some high school,free/reduced,Not,67,84,84
male,group D,some college,standard,Not,88,77,77
male,group B,high school,standard,Not,57,48,51
female,group D,some college,standard,completed,79,84,91
female,group C,bachelor's degree,free/reduced,Not,67,75,72
male,group E,bachelor's degree,standard,completed,70,64,70
male,group D,bachelor's degree,free/reduced,Not,50,42,48
female,group A,some college,standard,Not,69,84,82
female,group C,bachelor's degree,standard,completed,52,61,66
female,group C,bachelor's degree,free/reduced,completed,47,62,66
female,group B,associate's degree,free/reduced,Not,46,61,55
female,group E,some college,standard,Not,68,70,66
male,group E,bachelor's degree,standard,completed,100,100,100
female,group C,high school,standard,Not,44,61,52
female,group C,associate's degree,standard,completed,57,77,80
male,group B,some college,standard,completed,91,96,91
male,group D,high school,free/reduced,Not,69,70,67
female,group C,high school,free/reduced,Not,35,53,46
male,group D,high school,standard,Not,72,66,66
female,group B,associate's degree,free/reduced,Not,54,65,65
male,group D,high school,free/reduced,Not,74,70,69
male,group E,some high school,standard,completed,74,64,60
male,group E,associate's degree,free/reduced,Not,64,56,52
female,group D,high school,free/reduced,completed,65,61,71
male,group E,associate's degree,free/reduced,completed,46,43,44
female,group C,some high school,free/reduced,Not,48,56,51
male,group C,some college,free/reduced,completed,67,74,70
male,group D,some college,free/reduced,Not,62,57,62
male,group D,associate's degree,free/reduced,completed,61,71,73
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group C,associate's degree,standard,completed,98,87,90
male,group D,some college,free/reduced,Not,70,63,58
male,group A,associate's degree,standard,Not,67,57,53
female,group E,high school,free/reduced,Not,57,58,57
male,group D,some college,standard,completed,85,81,85
male,group D,some high school,standard,completed,77,68,69
male,group C,master's degree,free/reduced,completed,72,66,72
female,group D,master's degree,standard,Not,78,91,96
male,group C,high school,standard,Not,81,66,64
male,group A,some high school,free/reduced,completed,61,62,61
female,group B,high school,standard,Not,58,68,61
female,group C,associate's degree,standard,Not,54,61,58
male,group B,high school,standard,Not,82,82,80
female,group D,some college,free/reduced,Not,49,58,60
male,group B,some high school,free/reduced,completed,49,50,52
female,group E,high school,free/reduced,completed,57,75,73
male,group E,high school,standard,Not,94,73,71
female,group D,some college,standard,completed,75,77,83
female,group E,some high school,free/reduced,Not,74,74,72
male,group C,high school,standard,completed,58,52,54
female,group C,some college,standard,Not,62,69,69
male,group E,associate's degree,standard,Not,72,57,62
male,group C,some college,standard,Not,84,87,81
female,group D,master's degree,standard,Not,92,100,100
female,group D,high school,standard,Not,45,63,59
male,group C,high school,standard,Not,75,81,71
female,group A,some college,standard,Not,56,58,64
female,group D,some high school,free/reduced,Not,48,54,53
female,group E,associate's degree,standard,Not,100,100,100
female,group C,some high school,free/reduced,completed,65,76,75
male,group D,some college,standard,Not,72,57,58
female,group D,some college,standard,Not,62,70,72
male,group A,some high school,standard,completed,66,68,64
male,group C,some college,standard,Not,63,63,60
female,group E,associate's degree,standard,Not,68,76,67
female,group B,bachelor's degree,standard,Not,75,84,80
female,group D,bachelor's degree,standard,Not,89,100,100
male,group C,some high school,standard,completed,78,72,69
female,group A,high school,free/reduced,completed,53,50,60
female,group D,some college,free/reduced,Not,49,65,61
female,group A,some college,standard,Not,54,63,67
female,group C,some college,standard,completed,64,82,77
male,group B,some college,free/reduced,completed,60,62,60
male,group C,associate's degree,standard,Not,62,65,58
male,group D,high school,standard,completed,55,41,48
female,group C,associate's degree,standard,Not,91,95,94
female,group B,high school,free/reduced,Not,8,24,23
male,group D,some high school,standard,Not,81,78,78
male,group B,some high school,standard,completed,79,85,86
female,group A,some college,standard,completed,78,87,91
female,group C,some high school,standard,Not,74,75,82
male,group A,high school,standard,Not,57,51,54
female,group C,associate's degree,standard,Not,40,59,51
male,group E,some high school,standard,completed,81,75,76
female,group A,some high school,free/reduced,Not,44,45,45
female,group D,some college,free/reduced,completed,67,86,83
male,group E,high school,free/reduced,completed,86,81,75
female,group B,some high school,standard,completed,65,82,78
female,group D,associate's degree,free/reduced,Not,55,76,76
female,group D,bachelor's degree,free/reduced,Not,62,72,74
male,group A,high school,standard,Not,63,63,62
female,group E,master's degree,standard,completed,88,99,95
male,group C,high school,free/reduced,Not,62,55,55
female,group C,high school,free/reduced,completed,59,71,65
female,group D,some college,standard,completed,68,78,77
female,group D,some college,free/reduced,Not,77,86,86
